time,ECG,BR
0,1.597,27.2
0.005,1.551,27.2
0.01,1.552,27.2
0.015,1.588,27.2
0.02,1.556,27.1
0.025,1.516,27.1
0.03,1.525,27.1
0.035,1.567,27.2
0.04,1.544,27.2
0.045,1.507,27.1
0.05,1.515,27.1
0.055,1.558,27.1
0.06,1.54,27
0.065,1.514,27.1
0.07,1.524,27.1
0.075,1.562,27.1
0.08,1.544,27.1
0.085,1.507,27
0.09,1.522,26.9
0.095,1.562,26.9
0.1,1.538,26.9
0.105,1.505,26.8
0.11,1.513,26.8
0.115,1.55,26.8
0.12,1.518,26.8
0.125,1.48,26.8
0.13,1.493,26.9
0.135,1.53,26.8
0.14,1.507,26.8
0.145,1.484,26.8
0.15,1.498,26.8
0.155,1.532,26.9
0.16,1.505,26.8
0.165,1.47,26.8
0.17,1.482,26.7
0.175,1.522,26.7
0.18,1.5,26.7
0.185,1.469,26.6
0.19,1.486,26.6
0.195,1.522,26.5
0.2,1.497,26.5
0.205,1.466,26.5
0.21,1.478,26.5
0.215,1.526,26.6
0.22,1.502,26.6
0.225,1.478,26.6
0.23,1.493,26.6
0.235,1.533,26.5
0.24,1.508,26.6
0.245,1.48,26.5
0.25,1.496,26.5
0.255,1.53,26.5
0.26,1.51,26.5
0.265,1.49,26.5
0.27,1.505,26.5
0.275,1.536,26.6
0.28,1.51,26.5
0.285,1.494,26.5
0.29,1.53,26.5
0.295,1.59,26.5
0.3,1.575,26.6
0.305,1.554,26.6
0.31,1.579,26.6
0.315,1.619,26.6
0.32,1.589,26.5
0.325,1.557,26.6
0.33,1.557,26.6
0.335,1.574,26.6
0.34,1.537,26.7
0.345,1.499,26.7
0.35,1.51,26.7
0.355,1.547,26.7
0.36,1.522,26.7
0.365,1.496,26.7
0.37,1.511,26.7
0.375,1.562,26.8
0.38,1.53,26.7
0.385,1.494,26.8
0.39,1.514,26.7
0.395,1.55,26.6
0.4,1.524,26.7
0.405,1.493,26.7
0.41,1.507,26.7
0.415,1.542,26.8
0.42,1.474,26.8
0.425,1.394,26.8
0.43,1.418,26.8
0.435,1.591,26.8
0.44,1.792,26.7
0.445,2.095,26.7
0.45,2.466,26.8
0.455,2.784,26.8
0.46,2.85,26.9
0.465,2.716,26.9
0.47,2.446,26.8
0.475,1.876,26.8
0.48,1.291,26.8
0.485,0.982,26.8
0.49,0.882,26.8
0.495,0.939,26.8
0.5,0.962,26.8
0.505,0.929,26.8
0.51,0.947,26.8
0.515,1.032,26.9
0.52,1.048,26.9
0.525,0.989,26.9
0.53,0.993,26.9
0.535,1.056,26.9
0.54,1.093,26.9
0.545,1.176,26.9
0.55,1.339,26.9
0.555,1.533,27
0.56,1.627,27
0.565,1.659,27
0.57,1.702,26.9
0.575,1.757,26.9
0.58,1.742,26.9
0.585,1.722,26.9
0.59,1.746,26.9
0.595,1.795,26.8
0.6,1.775,26.8
0.605,1.748,26.8
0.61,1.762,26.8
0.615,1.817,26.8
0.62,1.803,26.9
0.625,1.782,26.8
0.63,1.801,26.9
0.635,1.849,26.8
0.64,1.846,26.8
0.645,1.834,26.8
0.65,1.862,26.9
0.655,1.922,26.9
0.66,1.919,26.9
0.665,1.905,26.9
0.67,1.93,26.9
0.675,1.998,26.9
0.68,2.001,26.9
0.685,1.992,26.9
0.69,2.029,26.9
0.695,2.094,26.8
0.7,2.093,26.8
0.705,2.081,26.8
0.71,2.105,26.8
0.715,2.154,26.8
0.72,2.13,26.8
