ECG RRI (ms),BR RRI (ms)
795,3940
830,3585
860,3575
875,3645
835,3260
845,3890
875,3645
885,3790
855,4010
860,3475
510,3630
1175,3400
795,3895
760,3395
795,3170
825,3850
855,3895
840,3930
860,4000
880,3920
860,3845
835,4310
855,3180
885,3305
875,3815
835,3240
830,3490
860,3065
870,3180
830,3185
805,3240
840,3720
865,3475
870,3995
820,3515
820,3705
860,3350
885,3300
855,3315
825,4115
850,3550
865,3755
870,3415
820,3630
840,3575
840,2945
855,3270
800,3345
785,3215
840,3770
850,3570
840,3740
800,3275
845,3750
885,4130
875,3330
850,4030
850,3540
885,3955
890,3495
850,3525
855,3780
880,2640
860,1630
835,2785
865,2265
890,2445
890,1835
835,4420
845,4165
870,3520
905,4815
850,2330
820,3270
860,4515
520,4860
1195,3155
775,2445
775,2805
810,3120
850,2905
880,3115
835,2810
850,2985
900,3470
895,3215
880,
855,
875,
575,
1125,
780,
765,
805,
840,
875,
850,
860,
885,
890,
850,
860,
880,
880,
835,
880,
890,
885,
840,
855,
885,
875,
820,
850,
880,
860,
820,
835,
865,
860,
820,
860,
870,
825,
805,
855,
865,
825,
830,
870,
840,
805,
815,
845,
880,
855,
840,
870,
885,
850,
815,
835,
875,
875,
820,
810,
850,
870,
835,
810,
845,
875,
855,
835,
850,
880,
860,
825,
855,
875,
850,
810,
855,
860,
840,
795,
855,
885,
875,
555,
1045,
820,
830,
805,
785,
800,
850,
890,
855,
860,
900,
910,
860,
840,
865,
875,
830,
795,
835,
850,
825,
800,
820,
840,
815,
805,
835,
850,
830,
805,
520,
1160,
780,
755,
800,
835,
820,
830,
865,
910,
870,
855,
865,
880,
875,
840,
845,
845,
845,
810,
795,
825,
835,
810,
820,
865,
910,
850,
815,
840,
875,
905,
870,
855,
505,
1250,
815,
770,
800,
845,
895,
870,
885,
910,
910,
875,
855,
870,
890,
860,
835,
855,
875,
860,
815,
840,
865,
870,
830,
840,
880,
885,
840,
810,
885,
925,
940,
895,
885,
885,
855,
865,
830,
800,
790,
760,
780,
780,
775,
760,
775,
765,
760,
760,
750,
745,
790,
830,
860,
805,
780,
825,
875,
820,
795,
830,
885,
865,
885,
895,
870,
860,
810,
815,
835,
850,
825,
815,
875,
885,
855,
840,
805,
845,
890,
900,
880,
840,
855,
895,
865,
845,
860,
825,
800,
830,
835,
805,
860,
860,
845,
805,
830,
840,
815,
825,
855,
850,
825,
850,
865,
830,
810,
845,
820,
790,
795,
825,
830,
800,
800,
840,
855,
815,
800,
